Adresse,Eiendom,Takst,Skattenivå,Bunnfradrag,Grunnlag,Promillesats,Skatt,Fritak,faktor
Svehøgda 72,46/375/0/0,6533000,70,320000,4253100,1.8,7655,Ingen,1.0
Svehøgda 96,46/376/0/0,6697000,70,320000,4367900,1.8,7862,Ingen,1.0
Svehøgda 94,46/377/0/0,11299000,70,640000,7269300,1.8,13084,Ingen,2.0
Svehøgda 92,46/378/0/0,8833000,70,320000,5863100,1.8,10553,Ingen,1.0
Svehøgda 90,46/379/0/0,7046000,70,320000,4612200,1.8,8301,Ingen,1.0
Svehøgda 88,46/380/0/0,8107000,70,320000,5354900,1.8,9638,Ingen,1.0
Svehøgda 86,46/381/0/0,9418000,70,640000,5952600,1.8,10714,Ingen,2.0
Svehøgda 84,46/382/0/0,10736000,70,640000,6875200,1.8,12375,Ingen,2.0
Svehøgda 76,46/383/0/0,5915000,70,320000,3820500,1.8,6876,Ingen,1.0
Svehøgda 78,46/384/0/0,10314000,70,640000,6579800,1.8,11843,Ingen,2.0
Svehøgda 80,46/385/0/0,5206000,70,320000,3324200,1.8,5983,Ingen,1.0
Svehøgda 82,46/386/0/0,10358000,70,320000,6930600,1.8,12475,Ingen,1.0
Svehøgda 164,46/387/0/0,6335000,70,320000,4114500,1.8,7406,Ingen,1.0
Svehøgda 152,46/388/0/0,5683000,70,320000,3658100,1.8,6584,Ingen,1.0
Svehøgda 50,46/390/0/0,5417000,70,320000,3471900,1.8,6249,Ingen,1.0
Svehøgda 52,46/391/0/0,4682000,70,320000,2957400,1.8,5323,Ingen,1.0
Svehøgda 54,46/392/0/0,5857000,70,320000,3779900,1.8,6803,Ingen,1.0
Svehøgda 56,46/393/0/0,5617000,70,640000,3291900,1.8,5925,Ingen,2.0
Svehøgda 58,46/394/0/0,5972000,70,320000,3860400,1.8,6948,Ingen,1.0
Svehøgda 60,46/395/0/0,5771000,70,320000,3719700,1.8,6695,Ingen,1.0
Svehøgda 62,46/396/0/0,5915000,70,320000,3820500,1.8,6876,Ingen,1.0
Svehøgda 64,46/397/0/0,5944000,70,320000,3840800,1.8,6913,Ingen,1.0
Svehøgda 66,46/398/0/0,5857000,70,320000,3779900,1.8,6803,Ingen,1.0
Svehøgda 68,46/399/0/0,6560000,70,320000,4272000,1.8,7689,Ingen,1.0
Svehøgda 70,46/400/0/0,5777000,70,640000,3403900,1.8,6127,Ingen,2.0
Svehøgda 38E,46/402/0/0,4417000,70,320000,2771900,1.8,4989,Ingen,1.0
Svehøgda 40,46/408/0/0,3285000,70,320000,1979500,1.8,3563,Ingen,1.0
Svehøgda 42,46/409/0/0,3216000,70,320000,1931200,1.8,3476,Ingen,1.0
Svehøgda 44,46/410/0/0,5158000,70,640000,2970600,1.8,5347,Ingen,2.0
Svehøgda 46,46/411/0/0,4429000,70,320000,2780300,1.8,5004,Ingen,1.0
Svehøgda 48,46/412/0/0,4295000,70,320000,2686500,1.8,4835,Ingen,1.0
Svehøgda 26,46/413/0/0,4670000,70,320000,2949000,1.8,5308,Ingen,1.0
Svehøgda 28,46/414/0/0,4197000,70,320000,2617900,1.8,4712,Ingen,1.0
