Adresse,Eiendom,Takst,Skattenivå,Bunnfradrag,Grunnlag,Promillesats,Skatt,Fritak
Grim Saxeviks Veg 3C,1/73/0/42,2 395 000,70%,200 000 1 476 500,"1,9‰",2 805,Ingen,
Grim Saxeviks Veg 3D,1/73/0/43,2 266 000,70%,200 000 1 386 200,"1,9‰",2 633,Ingen,
Grim Saxeviks Veg 3D,1/73/0/44,2 523 000,70%,200 000 1 566 100,"1,9‰",2 975,Ingen,
Grim Saxeviks Veg 3D,1/73/0/45,2 523 000,70%,200 000 1 566 100,"1,9‰",2 975,Ingen,
Grim Saxeviks Veg 3D,1/73/0/46,2 395 000,70%,200 000 1 476 500,"1,9‰",2 805,Ingen,
Grim Saxeviks Veg 3D,1/73/0/47,2 395 000,70%,200 000 1 476 500,"1,9‰",2 805,Ingen,
Grim Saxeviks Veg 3D,1/73/0/48,2 395 000,70%,200 000 1 476 500,"1,9‰",2 805,Ingen,
Kongestien 16,1/74/0/0,2 922 000,70%,200 000 1 845 400,"1,9‰",3 506,Ingen,
Olav Magnussons Veg 19,1/76/0/0,4 335 000,70%,200 000 2 834 500,"1,9‰",5 385,Ingen,
Nordlistien 1,1/77/0/0,5 564 000,70%,200 000 3 694 800,"1,9‰",7 020,Ingen,
Armfeldts Veg 2B,1/78/0/0,4 978 000,70%,400 000 3 084 600,"1,9‰",5 860,Ingen,
Hundhammervegen 27,1/79/0/0,4 408 000,70%,200 000 2 885 600,"1,9‰",5 482,Ingen,
Kongestien 3A,1/84/0/0,1 329 000,70%,200 000 730 300,"1,9‰",1 387,Ingen,
Kongestien 5,1/86/0/0,3 933 000,70%,200 000 2 553 100,"1,9‰",4 850,Ingen,
Olav Magnussons Veg 14B,1/91/0/0,7 491 000,70%,400 000 4 843 700,"1,9‰",9 203,Ingen,
Knausen 0,1/93/0/0,61 000,100%,0 61 000,"1,9‰",115,Ingen,
Magnus Barfots Veg 20,1/94/0/0,5 229 000,70%,200 000 3 460 300,"1,9‰",6 574,Ingen,
Nordlistien 2,1/96/0/0,4 286 000,70%,200 000 2 800 200,"1,9‰",5 320,Ingen,
Olav Magnussons Veg 31,1/97/0/0,9 437 000,70%,200 000 6 405 900,"1,9‰",12 171,Ingen,
Vidsjåvegen 8,1/98/0/0,11 208 000,70%,200 000 7 645 600,"1,9‰",14 526,Ingen,
Olav Magnussons Veg 23A,1/99/0/0,4 434 000,70%,200 000 2 903 800,"1,9‰",5 517,Ingen,
Olav Magnussons Veg 20,1/100/0/0,5 673 000,70%,400 000 3 571 100,"1,9‰",6 785,Ingen,
Olav Magnussons Veg 16,1/103/0/0,4 010 000,70%,200 000 2 607 000,"1,9‰",4 953,Ingen,
Magnus Barfots Veg 16A,1/104/0/0,3 986 000,70%,200 000 2 590 200,"1,9‰",4 921,Ingen,
Olav Magnussons Veg 25,1/105/0/0,11 968 000,70%,400 000 7 977 600,"1,9‰",15 157,Ingen,
Armfeldts Veg 1,1/106/0/1,4 026 000,100%,0 4 026 000,4‰,16 104,Ingen,
Armfeldts Veg 1,1/106/0/2,2 618 000,70%,200 000 1 632 600,"1,9‰",3 101,Ingen,
Armfeldts Veg 1,1/106/0/3,2 491 000,70%,200 000 1 543 700,"1,9‰",2 933,Ingen,
Armfeldts Veg 1,1/106/0/4,2 427 000,70%,200 000 1 498 900,"1,9‰",2 847,Ingen,
Armfeldts Veg 1,1/106/0/5,1 352 000,70%,200 000 746 400,"1,9‰",1 418,Ingen,
Armfeldts Veg 1,1/106/0/6,3 171 000,70%,200 000 2 019 700,"1,9‰",3 837,Ingen,
Armfeldts Veg 2A,1/107/0/0,9 566 000,70%,600 000 6 096 200,"1,9‰",11 582,Ingen,
Lassvebergvegen 13,1/108/0/0,4 457 000,70%,200 000 2 919 900,"1,9‰",5 547,Ingen,
