Adresse,Eiendom,Takst,Skattenivå,Bunnfradrag,Grunnlag,Promillesats,Skatt,Fritak
Smiskaret 90A,46/163/0/1,2967000,70,2000001876,900,1.9,3566,Ingen
Smiskaret 90B,46/163/0/2,2293000,70,2000001405,100,1.9,2669,Ingen
Smiskaret 90D,46/163/0/3,3964000,70,2000002574,800,1.9,4892,Ingen
Smiskaret 90C,46/163/0/4,1942000,70,2000001159,400,1.9,2202,Ingen
Smiskaret 94,46/165/0/0,4392000,70,2000002874,400,1.9,5461,Ingen
Smiskaret 100,46/168/0/0,5883000,70,2000003918,100,1.9,7444,Ingen
Smiskaret 102,46/169/0/0,7037000,70,2000004725,900,1.9,8979,Ingen
Smiskaret 104,46/170/0/0,6287000,70,2000004200,900,1.9,7981,Ingen
Smiskaret 106,46/171/0/0,4890000,70,4000003023,000,1.9,5743,Ingen
Smiskaret 108,46/172/0/0,6885000,70,2000004619,500,1.9,8777,Ingen
Smiskaret 110A,46/173/0/1,4096000,70,2000002667,200,1.9,5067,Ingen
Smiskaret 110B,46/173/0/2,4096000,70,2000002667,200,1.9,5067,Ingen
Tillegg Til Bergstua 0,46/178/0/0,,,,,,,
Tillegg Til 46/34 0,46/179/0/0,,,,,,,
Kindsethvegen 2,46/181/0/0,7262000,70,4000004683,400,1.9,8898,Ingen
Kindsethvegen 4,46/182/0/0,6961000,70,4000004472,700,1.9,8498,Ingen
Kindsethvegen 6,46/183/0/0,6314000,70,2000004219,800,1.9,8017,Ingen
Kindsethvegen 8,46/184/0/0,7968000,70,4000005177,600,1.9,9837,Ingen
Kindsethvegen 10,46/185/0/0,4948000,70,2000003263,600,1.9,6200,Ingen
Kindsethvegen 12,46/186/0/0,6393000,70,2000004275,100,1.9,8122,Ingen
Kindsethvegen 14,46/187/0/0,5911000,70,2000003937,700,1.9,7481,Ingen
Kindsethvegen 16,46/188/0/0,4977000,70,2000003283,900,1.9,6239,Ingen
Kindsethvegen 18,46/189/0/0,3454000,70,4000002017,800,1.9,3833,Ingen
Kindsethvegen 20,46/190/0/0,5581000,70,2000003706,700,1.9,7042,Ingen
Kindsethvegen 1 0,46/191/0/0,384000,100,0384,000,1.9,729,Ingen
Kindsethvegen 3,46/192/0/0,5353000,70,2000003547,100,1.9,6739,Ingen
Kindsethvegen 5,46/193/0/0,5523000,70,2000003666,100,1.9,6965,Ingen
Kindsethvegen 7,46/194/0/0,4769000,70,2000003138,300,1.9,5962,Ingen
Kindsethvegen 9A,46/195/0/0,4918000,70,2000003242,600,1.9,6160,Ingen
Kindsethvegen 11,46/196/0/0,7992000,70,2000005394,400,1.9,10249,Ingen
Kindsethvegen 21,46/197/0/0,7044000,70,4000004530,800,1.9,8608,Ingen
Bjørnmyra 2A,46/198/0/0,4977000,70,2000003283,900,1.9,6239,Ingen
Bjørnmyra 4A,46/199/0/0,4372000,70,2000002860,400,1.9,5434,Ingen
